"player_id","season_name","general_position","team_id","minutes_played","goals_added_above_avg_Dribbling","goals_added_above_avg_Fouling","goals_added_above_avg_Interrupting","goals_added_above_avg_Passing","goals_added_above_avg_Receiving","goals_added_above_avg_Shooting","count_actions_Dribbling","count_actions_Fouling","count_actions_Interrupting","count_actions_Passing","count_actions_Receiving","count_actions_Shooting","offensive_goals_added"
"2lqRkPknQr","2018","CM","0KPqjA456v",325,0.1051,-0.0197,0.0705,-0.0855,0.1714,0.0464,59,8,32,135,110,5,0.2177
"2lqRkPknQr","2018","ST","0KPqjA456v",12,0.0012,-0.0018,-0.0017,0.0053,-0.0251,-0.009,1,0,1,6,5,0,-0.0294
"2lqRkPknQr","2018","W","0KPqjA456v",358,0.2831,0.3673,0.0161,-0.2128,-0.1705,-0.1094,81,17,41,136,124,4,0.1577
"2lqRkPknQr","2019","FB","0KPqjA456v",2477,0.8056,0.1024,0.5399,-0.556,-0.00349999999999999,0.0488,543,65,322,1457,1046,13,0.3973
"2lqRkPknQr","2020","CM","0KPqjA456v",118,0.0706,0.253,0.0965,0.0168,0.0075,-0.0206,21,3,10,51,43,1,0.3273
"2lqRkPknQr","2020","FB","0KPqjA456v",1189,-0.032,0.659,-0.2745,-0.4646,0.1417,0.1025,196,24,149,694,500,8,0.4066
"2lqRkPknQr","2020","W","0KPqjA456v",64,-0.0722,-0.0066,-0.0247,0.0353,0.0756,0.012,16,2,1,26,28,1,0.0441
"2lqRkPknQr","2021","FB","0KPqjA456v",779,0.1145,0.0368,-0.3055,-0.0154,0.0436,-0.09,134,16,108,479,335,0,0.0895
"2lqRkPknQr","2021","W","0KPqjA456v",18,0.0019,-0.0018,0.04,-0.0151,-0.0128,-0.0092,8,0,4,7,6,0,-0.037
"2lqRkPknQr","2022","CM","0KPqjA456v",32,-0.0401,0.0467,-0.0049,-0.0163,0.1969,0.0915,10,2,1,14,18,2,0.2787
"2lqRkPknQr","2022","FB","0KPqjA456v",1425,0.7213,0.1392,0.6196,-1.0682,0.0084,0.138,224,26,159,804,560,9,-0.0613
"2lqRkRPaQr","2014","DM","mvzqoLZQap",23,-0.0012,0.001,-0.047,-0.0251,-0.0071,-0.0043,1,0,2,10,9,0,-0.0367
"2lqRkrwxQr","2017","AM","mKAqBBmqbg",116,-0.1412,-0.0108,-0.0378,-0.0091,-0.0102,-0.0043,14,2,7,19,24,4,-0.1756
"2lqRkrwxQr","2017","ST","mKAqBBmqbg",892,0.5289,-0.3619,-0.2197,-0.1424,0.4775,0.3332,99,22,24,149,186,33,0.8353
"2lqRkrwxQr","2017","W","mKAqBBmqbg",48,0.0919,-0.0026,-0.0206,-0.0356,0.1034,0.071,11,3,7,15,14,3,0.2281
"2lqRkrwxQr","2018","AM","mKAqBBmqbg",38,-0.0614,-0.0043,-0.0176,-0.0139,0.0041,-0.0195,1,0,0,3,3,0,-0.095
"2lqRkrwxQr","2018","DM","mKAqBBmqbg",13,-0.0016,6e-04,-0.0099,-0.0099,-0.0014,-0.0024,0,0,0,2,2,0,-0.0147
"2lqRkrwxQr","2018","FB","mKAqBBmqbg",27,-0.1065,0.0014,-0.0169,-0.0494,0.1309,0.0931,5,0,0,9,12,2,0.0695
"2lqRkrwxQr","2018","ST","mKAqBBmqbg",556,-0.2652,-0.0742,-0.1683,-0.079,0.8601,0.0353,86,14,29,162,192,17,0.477
"2lqRkrwxQr","2018","W","mKAqBBmqbg",44,-0.0746,0.0131,-0.021,-0.0062,0.1396,0.002,10,1,0,7,12,2,0.0739
"2lqRkWjJQr","2019","FB","jYQJ8EW5GR",2319,0.651,0.5278,-0.3805,-0.6288,0.1329,-0.0812,444,57,237,949,663,8,0.6017
"2lqRkWjJQr","2019","W","jYQJ8EW5GR",11,0.0063,-0.0011,-9e-04,0.1032,-0.0018,-0.0056,4,0,1,3,4,0,0.101
"2lqRkWjJQr","2020","FB","jYQJ8EW5GR",2223,0.4494,0.0804,0.5813,-0.3441,0.564,-0.0823,412,62,218,1070,781,7,0.6674
"2lqRkWjJQr","2020","W","jYQJ8EW5GR",26,-0.0053,-0.0283,-0.0063,-0.0085,0.0861,0.0017,0,3,1,3,3,1,0.0457
"2lqRkWjJQr","2021","AM","jYQJ8EW5GR",52,0.0156,-0.0045,-0.0711,-0.0872,-0.0456,-0.0266,4,1,2,11,6,0,-0.1483
"2lqRkWjJQr","2021","FB","jYQJ8EW5GR",2109,0.6935,0.0913,0.0844,-0.7911,0.4575,0.0954,332,40,169,984,720,9,0.5466
"2lqRkWjJQr","2021","ST","jYQJ8EW5GR",6,0.0209,-9e-04,-0.002,-0.0197,-0.0011,-0.0045,2,0,0,3,3,0,-0.0053
"2lqRkWjJQr","2022","FB","jYQJ8EW5GR",2749,-0.0938,0.0345,0.1703,-1.7774,0.4417,-0.0732,442,43,212,1319,1008,8,-1.4682
"2lqRkYZnQr","2019","AM","mKAqBBmqbg",27,0.0027,-0.0029,0.0052,0.0037,0.0253,0.0583,1,1,5,6,6,2,0.0871
"2lqRkYZnQr","2019","CM","mKAqBBmqbg",551,0.0539,-0.0772,0.177,0.0154,-0.0754,0.0478,106,22,64,397,353,12,-0.0355
"2lqRkYZnQr","2019","DM","mKAqBBmqbg",1863,0.2845,-0.127,0.0402,0.1688,-0.2052,0.1645,355,70,226,1340,1073,46,0.2856
"2lqRkYZnQr","2020","AM","mKAqBBmqbg",133,-0.0357,-0.062,-0.001,-0.0067,-0.0786,0.0343,22,8,12,58,56,4,-0.1487
"2lqRkYZnQr","2020","CM","mKAqBBmqbg",335,0.0234,-0.051,0.003,0.0569,-0.0293,-0.0116,71,13,40,222,187,6,-0.0116
"2lqRkYZnQr","2020","DM","mKAqBBmqbg",332,-0.0539,-0.0555,-0.0608,0.1872,0.0111,0.0459,46,11,29,193,161,7,0.1348
"2lqRkYZnQr","2021","CM","mKAqBBmqbg",474,-0.0113,0.0028,-0.1558,0.0624,-0.1554,-0.0969,61,19,65,283,197,4,-0.1984
"2lqRkYZnQr","2021","DM","mKAqBBmqbg",1241,0.0738,-0.4562,0.0616,0.5075,-0.1314,0.2624,224,53,162,880,683,30,0.2561
"2lqRkYZnQr","2021","ST","mKAqBBmqbg",33,0.0045,-0.0172,-0.0012,0.0182,-0.0649,-0.0249,4,1,3,20,18,0,-0.0843
"2lqRkYZnQr","2022","AM","pzeQZ6xQKw",100,-0.0813,-0.008,0.042,-0.1407,0.0362,-0.039,6,4,11,22,12,1,-0.2328
"2lqRkYZnQr","2022","CM","pzeQZ6xQKw",905,-0.0758,-0.3082,-0.2786,0.1971,-0.3144,-0.1916,87,28,85,397,276,6,-0.6929
"2lqRkYZnQr","2022","DM","pzeQZ6xQKw",1016,-0.0843,-0.0879,-0.1252,-0.0949,-0.2238,-0.1644,113,39,136,530,345,3,-0.6553
"2lqRkYZnQr","2022","W","pzeQZ6xQKw",63,0.0128,-0.0118,0.0771,-0.0122,-0.0198,0.0203,6,2,8,21,13,2,-0.0107
"2lqRkZXDQr","2019","W","0KPqjA456v",2742,2.4828,0.0575,-0.3576,0.3246,-0.7191,0.763,821,67,203,1418,1335,95,2.9088
"2lqRkZXDQr","2020","CM","0KPqjA456v",196,0.0616,0.0441,-0.0917,0.000800000000000002,0.0175,0.0326,80,3,17,107,101,5,0.1566
"2lqRkZXDQr","2020","W","0KPqjA456v",2019,0.6112,0.0522,0.39,0.2521,-0.6772,0.145,529,48,179,996,915,55,0.3833
"2lqRkZXDQr","2021","AM","0KPqjA456v",232,-0.0188,-0.0029,-0.04,0.0898,-0.0389,0.0715,68,4,16,85,92,10,0.1007
"2lqRkZXDQr","2021","FB","0KPqjA456v",98,0.0928,0.0123,-0.0216,-0.0923,0.0197,0.0657,32,6,8,42,37,2,0.0982
"2lqRkZXDQr","2021","W","0KPqjA456v",2101,0.4326,0.0185,-0.2288,-0.1681,-0.7786,-0.0917,409,37,177,812,713,41,-0.5873
"2lqRkZXDQr","2022","W","0KPqjA456v",3054,-0.8093,0.0195,-0.1404,-0.2703,-0.266,0.002,591,65,208,1359,1164,73,-1.3241
"2lqRL2JMr0","2013","CB","mKAqBBmqbg",2245,-0.5079,-0.1105,-0.5337,-0.3194,0.3255,0.0383,169,49,383,739,522,13,-0.574
"2lqRNNaqr0","2013","FB","lgpMOvnQzy",2243,-0.276,0.4376,-0.0278,-0.2094,-0.0803,0.0276,155,43,327,957,553,10,-0.1005
"2lqRNNaqr0","2013","W","lgpMOvnQzy",16,-0.0033,-0.0016,0.0074,0.0132,0.0353,-0.0082,0,1,2,5,4,0,0.0354
